,0
0,DIJON VILLE
1,STRASBOURG
2,MULHOUSE VILLE
3,AIX EN PROVENCE TGV
4,AVIGNON TGV
5,CANNES
6,LYON (gares intramuros)
7,MARSEILLE ST CHARLES
8,BESANCON Franche Comté TGV
9,TOULON
10,ST RAPHAEL VALESCURE
11,MACON VILLE
12,NICE VILLE
13,ANTIBES
14,BEAUNE
15,CHALON SUR SAONE
16,LES ARCS DRAGUIGNAN
17,MEUSE TGV
18,PARIS (intramuros)
19,NANCY
20,CHAMPAGNE ARDENNE
21,EPINAL
22,REMIREMONT
23,SARREBOURG
24,SAVERNE
25,METZ VILLE
26,REIMS
27,SEDAN
28,VITRY LE FRANCOIS GARE
29,Luxembourg
30,THIONVILLE
31,LIMOGES BENEDICTINS
32,LA SOUTERRAINE
33,BRIVE LA GAILLARDE
34,CHATEAUROUX
35,CORBIERES LES AUBRAIS ORLEANS
36,SOUILLAC
37,MONTAUBAN VILLE BOURBON
38,CORBIERES VIERZON VILLE
39,CAHORS
40,UZERCHE
41,ISSOUDUN
42,ARGENTON SUR CREUSE
43,GOURDON
44,CAUSSADE TARN ET GARONNE
45,TOULOUSE MATABIAU
46,LOURDES
47,TARBES
48,PORTE PUYMORENS
49,LES CABANNES
50,LATOUR DE CAROL ENVEITG
51,BEZIERS
52,MONTPELLIER SAINT ROCH
53,NARBONNE
54,AGEN
55,BORDEAUX ST JEAN
56,MARMANDE
57,SETE
58,NIMES
59,CARCASSONNE
60,ARLES
61,MARNE LA VALLEE CHESSY
62,AEROPORT CDG2 TGV ROISSY
63,MONTPELLIER SUD DE FRANCE
64,VALENCE TGV RHONE ALPES SUD
65,ARRAS
66,DOUAI
67,LILLE FLANDRES
68,ANGERS ST LAUD
69,LAVAL
70,LE MANS
71,NANTES
72,TGV HAUTE PICARDIE
73,MASSY TGV
74,LORRAINE TGV
75,RENNES
76,BELFORT MONTBELIARD TGV
77,CLERMONT FERRAND
78,NEVERS
79,VICHY
80,MOULINS SUR ALLIER
81,RIOM CHATEL GUYON
82,PERPIGNAN
83,AGDE
84,LYON ST EXUPERY
85,VALENCE VILLE
86,AVIGNON CENTRE
87,MONTELIMAR GARE SNCF
88,MIRAMAS
89,LE CREUSOT MONTCEAU MONTCHANIN
90,ST ETIENNE CHATEAUCREUX
91,BESANCON VIOTTE
92,GRENOBLE
93,MACON LOCHE TGV
94,CHAMBERY CHALLES LES EAUX
95,AIX LES BAINS LE REVARD
96,ANNECY
97,VALENCIENNES
98,BETHUNE
99,LENS
100,CALAIS FRETHUN
101,LILLE EUROPE
102,DOL DE BRETAGNE
103,ST MALO
104,VITRE
105,TOURS
106,VENDOME VILLIERS SUR LOIR
107,ST PIERRE DES CORPS
108,CHATELLERAULT
109,POITIERS
110,FUTUROSCOPE
111,LA ROCHELLE VILLE
112,SURGERES
113,NIORT
114,ANGOULEME
115,LIBOURNE
116,PAU
117,ORTHEZ
118,ST BRIEUC
119,BREST
120,MORLAIX
121,PLOUARET TREGOR
122,LANDERNEAU
123,GUINGAMP
124,LORIENT
125,VANNES
126,QUIMPERLE
127,ROSPORDEN
128,QUIMPER
129,REDON
130,AURAY
131,SABLE
132,LA BAULE ESCOUBLAC
133,ST NAZAIRE
134,LE CROISIC
135,LES SABLES D'OLONNE
136,LA ROCHE SUR YON
137,MODANE
138,FRASNE
139,BELLEGARDE
140,BOURG EN BRESSE
141,COLMAR
142,LUNEVILLE
143,RETHEL
144,CHARLEVILLE MEZIERES
145,CHALONS EN CHAMPAGNE
146,SAVERDUN
147,AUTERIVE
148,ANDORRE
149,MERENS LES VALS
150,AX LES THERMES
151,SAUMUR
152,MARSEILLE BLANCARDE
153,DIE
154,CHORGES
155,L'ARGENTIERE LES ECRINS (05)
156,VEYNES DEVOLUY
157,ORANGE
158,MONTBARD
159,DUNKERQUE
160,HAZEBROUCK
161,BOULOGNE VILLE
162,ST MAIXENT DEUX SEVRES
163,DAX
164,NURIEUX
165,BAR LE DUC
